event_id,event_date,event_title,location_description,location_accuracy,landslide_trigger,landslide_size,landslide_category,fatality_count,country_name,admin_division_name,source_name,source_link,latitude,longitude
9904,08/25/2016 06:59:00 PM,Mudslide near Kohima,"Near Kohima, Nagaland, India",25km,rain,small,mudslide,,,,Nagaland Post,http://nagalandpost.com/ChannelNews/State/StateNews.aspx?news=TkVXUzEwMDEwMTQ5OQ%3d%3d,25.660517,94.104931
9917,09/01/2016 02:32:00 PM,Landslide in Silchar,"Silchar, Assam, India",50km,flooding,large,landslide,4,,,EENADU India,http://www.eenaduindia.com/states/east/assam/2016/09/01164302/2-bodies-found-2-others-missing-after-landslide-flood.vpf,24.768609,92.821182
9965,09/05/2016 06:04:00 PM,Landslide in Nagaland,"Mokochung, Nagaland, India",1km,rain,large,landslide,0,,,Nagaland Post,http://www.nagalandpost.com/ChannelNews/State/StateNews.aspx?news=TkVXUzEwMDEwMjA2OQ%3D%3D,26.324724,94.514651
9966,09/05/2016 06:04:00 PM,Landslide in Wokha-Merapani Road,"Wokha, India",,rain,large,landslide,0,,,Nagaland Post,http://www.nagalandpost.com/ChannelNews/State/StateNews.aspx?news=TkVXUzEwMDEwMjA2OQ%3D%3D,26.092493,94.257523
10960,09/17/2016 02:54:00 PM,Landslide in Mizoram,"Mizoram, India",5km,,,landslide,5,,,Indian Express,http://indianexpress.com/article/india/india-news-india/massive-landslide-in-mizoram-kills-five/,23.725943,92.7178
10964,11/01/2016 02:24:00 PM,Sankarsena landslide buries two during hill-cutting,"Sankarsena, Nabiganj upazilla, Habiganj, Gaznaipur Union, Bangladesh",5km,mining,medium,landslide,2,,,Landslide in Gaznaipur,http://bdnews24.com/bangladesh/2016/11/01/two-labourers-die-in-habiganj-landslip,24.506937,91.588893
10972,12/15/2016 02:22:00 PM,Landslide at Noonmati Nijarapar,"Noonmati Nijarapar, Assam, India",1km,unknown,small,landslide,1,,,NBC Daily,http://www.nbcdaily.com/separate-landslides-kill-two-in-assam/85170/,26.191688,91.810079
10973,12/15/2016 05:00:00 AM,Landslide at Pub Sarania Hill,"Pub Sarania Hill, Guwahati, Assam, India",1km,unknown,small,landslide,1,,,NBC Daily,http://www.nbcdaily.com/separate-landslides-kill-two-in-assam/85170/,26.181606,91.772042
10981,01/23/2017 02:49:00 PM,Companiganj Landslide in Stone Quarry,"Companiganj, Sylhet Division, Bangladesh",1km,mining,small,landslide,5,,,NewAge,http://www.newagebd.net/article/7829/death-toll-from-sylhet-landslide-rises-to-five,25.08734272,91.75063827
10864,02/07/2017 06:52:00 PM,Brickfield Worker Killed in Pirgachha upazila During Work,"Pirgachha Upazila, Rangpur Division, Bangladesh, পীরগাছা",10km,construction,medium,mudslide,1,,,The Daily Star,http://www.thedailystar.net/country/mudslide-kills-one-1357441,25.64319355,89.45570226
